path,class_
./data/data6/Garbage classification/Garbage classification/paper/paper125.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper582.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal277.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash117.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic283.jpg,plastic
./data/data6/Garbage classification/Garbage classification/trash/trash8.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper574.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper513.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic45.jpg,plastic
./data/data6/Garbage classification/Garbage classification/trash/trash29.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard277.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal387.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash103.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass273.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper161.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard78.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard188.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard263.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper43.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash133.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard393.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard185.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal258.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass29.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper200.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard101.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass189.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper185.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash51.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper297.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass148.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic309.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper153.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard373.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic460.jpg,plastic
./data/data6/Garbage classification/Garbage classification/trash/trash81.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass460.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass421.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic343.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass74.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic193.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard29.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic209.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic4.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic94.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper253.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass479.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper519.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal206.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic461.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass305.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic252.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper194.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard312.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic351.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic48.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass293.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard291.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal163.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal390.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic243.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper376.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass333.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal374.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal191.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper85.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass68.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard135.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard369.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass280.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic37.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper540.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper326.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic224.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic317.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper516.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass90.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash36.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper115.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper334.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper580.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass347.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass9.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash20.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal296.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass186.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper568.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal295.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic189.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic443.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic271.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper170.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic27.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal51.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic119.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper162.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass431.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard399.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard365.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper330.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal119.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic439.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass112.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal102.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal359.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard72.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal53.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal92.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper419.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass290.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard48.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal188.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard149.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/trash/trash120.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic385.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper260.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic159.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal77.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic97.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal165.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard193.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper75.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic419.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic278.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass94.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal361.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal49.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard360.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard82.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass424.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic265.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass258.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass137.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper335.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal403.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper476.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper78.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard43.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass213.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard71.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper51.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal2.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash77.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic171.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard50.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic233.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard166.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic40.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard367.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal335.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash35.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard87.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass430.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper477.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard287.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal209.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard273.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass410.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass240.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper227.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal378.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper69.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass185.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper301.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass386.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic124.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass328.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic36.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard59.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass204.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper18.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic297.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper154.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper117.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal341.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper76.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic108.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass254.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic311.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass56.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash69.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard184.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper543.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic244.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard154.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard275.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass11.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass71.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash46.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass59.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper323.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper11.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic438.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass242.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic163.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper565.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic459.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass114.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic14.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper573.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash90.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic290.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal208.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal339.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper199.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass316.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper329.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper586.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic188.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard206.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper436.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic303.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal109.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper354.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic122.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic100.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass85.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash79.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal47.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash76.jpg,trash
./data/data6/Garbage classification/Garbage classification/trash/trash127.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass78.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic111.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic71.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard11.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass38.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass318.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic479.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic481.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper14.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard353.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard343.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper450.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass65.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass99.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard338.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal346.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper17.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash94.jpg,trash
./data/data6/Garbage classification/Garbage classification/trash/trash104.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic279.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard319.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic155.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal7.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard212.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal401.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass12.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper536.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic147.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic420.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal257.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper119.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic319.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic360.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper132.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal342.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper465.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper409.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass259.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash21.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic302.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic95.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass330.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper469.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal238.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper183.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic131.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass202.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper250.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper309.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper219.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash10.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass407.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal84.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass349.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic333.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic223.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic308.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass157.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard386.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard16.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard403.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic288.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass489.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper181.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic335.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal79.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard37.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard26.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard377.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass77.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass485.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard222.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic217.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic453.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper112.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass24.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper59.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal13.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass35.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass278.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard66.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper432.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal254.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper277.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard265.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard42.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass153.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic318.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper350.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic325.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper278.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper462.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass446.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard134.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal138.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass32.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass500.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal216.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic254.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal227.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic91.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass128.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper557.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass458.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard201.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic23.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic431.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass365.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard202.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper317.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal142.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard255.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper531.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper453.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass248.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash137.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal161.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic357.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard227.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard119.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper374.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass267.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic172.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper358.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic338.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic86.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic354.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard165.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic212.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal78.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic6.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard24.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal241.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard73.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic379.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass120.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper560.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper588.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass101.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper361.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal345.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard270.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/trash/trash89.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic82.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal338.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic148.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard392.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal316.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper570.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper274.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic195.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass133.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard62.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal404.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass159.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash119.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper89.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper571.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass23.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass303.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic347.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal172.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper65.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic391.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic399.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal146.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass352.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper445.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper520.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper433.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic448.jpg,plastic
